image_filename,mask_filename,binary_mask_filename,patch_labels_filename,hard_neg_filename,soft_target_filename,transform_policy,flip,blend_mode,scale_factor,rotation_angle,source_bbox,target_bbox,source_category_id,source_category_name,source_supercategory,placement_tier,same_cat_instance_count,source_texture_var,dest_texture_var,bg_similarity_score,image_height,image_width
000000336862.png,000000336862_mask.png,000000336862_binary.png,000000336862_patches.npy,000000336862_hard_neg.npy,,coverage_like,0,paste,0.797,6.643,"(260, 78, 112, 208)","(24, 47, 129, 196)",1,person,person,same_category,5,6703.69,8632.17,3.4316,480,640
000000156963.png,000000156963_mask.png,000000156963_binary.png,000000156963_patches.npy,000000156963_hard_neg.npy,,coverage_like,1,paste,1.005,4.015,"(488, 234, 105, 82)","(498, 302, 136, 115)",3,car,vehicle,no_candidates,5,5400.53,1106.45,3.325,480,640
000000205707.png,000000205707_mask.png,000000205707_binary.png,000000205707_patches.npy,000000205707_hard_neg.npy,,coverage_like,1,paste,0.824,-2.907,"(226, 133, 166, 219)","(467, 210, 166, 207)",1,person,person,same_category,9,7236.33,7869.24,3.0943,427,640
000000323746.png,000000323746_mask.png,000000323746_binary.png,000000323746_patches.npy,000000323746_hard_neg.npy,,coverage_like,0,paste,1.195,-9.65,"(222, 139, 99, 231)","(434, 40, 196, 325)",1,person,person,no_candidates,1,12567.91,9294.74,4.5804,427,640
000000366408.png,000000366408_mask.png,000000366408_binary.png,000000366408_patches.npy,000000366408_hard_neg.npy,,coverage_like,0,paste,1.043,5.936,"(236, 32, 174, 79)","(394, 220, 216, 128)",51,bowl,kitchen,same_supercategory,1,30.09,286.93,2.3465,427,640
000000550960.png,000000550960_mask.png,000000550960_binary.png,000000550960_patches.npy,000000550960_hard_neg.npy,,coverage_like,0,paste,1.143,-3.078,"(144, 198, 164, 250)","(361, 36, 231, 324)",58,hot dog,food,same_category,2,2859.18,2110.82,2.145,480,640
000000379882.png,000000379882_mask.png,000000379882_binary.png,000000379882_patches.npy,000000379882_hard_neg.npy,,coverage_like,0,paste,1.098,-3.824,"(26, 272, 99, 162)","(426, 220, 148, 212)",1,person,person,same_category,3,931.2,549.91,2.4947,480,640
000000033034.png,000000033034_mask.png,000000033034_binary.png,000000033034_patches.npy,000000033034_hard_neg.npy,,coverage_like,0,paste,1.015,-9.415,"(384, 265, 128, 143)","(171, 267, 179, 192)",56,broccoli,food,no_candidates,1,1828.92,1467.83,1.8341,480,640
000000118794.png,000000118794_mask.png,000000118794_binary.png,000000118794_patches.npy,000000118794_hard_neg.npy,,coverage_like,0,paste,1.086,0.957,"(426, 149, 103, 193)","(1, 161, 141, 238)",1,person,person,no_candidates,2,573.7,239.26,2.6858,428,640
000000423093.png,000000423093_mask.png,000000423093_binary.png,000000423093_patches.npy,000000423093_hard_neg.npy,,coverage_like,1,paste,0.73,-6.885,"(269, 60, 211, 172)","(8, 8, 187, 162)",1,person,person,vertical_band_fallback,1,2469.87,251.07,1.6653,480,640
